Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance
"Monte Carlo, Monaco - Nice, France",NCE,MCM,43.7,7.21,43.73,7.42,17.209633498438492
"Monte Carlo, Monaco - Nice, France",NCE,MCM,43.7,7.21,43.73,7.42,17.209633498438492
"New York, United States Of America - Seoul, Republic Of Korea",ICN,LGA,40.6,-73.79,40.77,-73.88,20.37592820030284
"London, United Kingdom - Seoul, Republic Of Korea",ICN,LCY,51.5,-0.45,51.5,0.05,34.621032323732926
"Guernsey -channel Isl., United Kingdom - Jersey-channel Islands, United Kingdom",GCI,JER,49.4,-2.6,49.21,-2.19,36.48042530575932
"Bahrain, Bahrain - Dammam, Saudi Arabia",BAH,DMM,26.3,50.63,26.47,49.8,84.83746491728888
"Belfast-city, United Kingdom - Isle Of Man, United Kingdom",IOM,BHD,54.1,-4.63,54.61,-5.87,98.37702578287872
"Bombay, India - Poona, India",PNQ,BOM,18.6,73.91,19.09,72.86,123.237424712192
"Bombay, India - Poona, India",PNQ,BOM,18.6,73.91,19.09,72.86,123.237424712192
"Bombay, India - Poona, India",PNQ,BOM,18.6,73.91,19.09,72.86,123.237424712192
"Bombay, India - Poona, India",PNQ,BOM,18.6,73.91,19.09,72.86,123.237424712192
"Bombay, India - Poona, India",BOM,PNQ,19.1,72.86,18.58,73.91,124.75196097046584
"Ithaca, United States Of America - Newark, United States Of America",ITH,EWR,40.0,-75.36,40.69,-74.18,126.08212295245988
"Gothenburg, Sweden - Stockholm, Sweden",ARN,GOT,60.7,15.85,59.56,16.49,131.66350034514517
"Mahon - Menorca, Spain - Palma - Mallorca Island, Spain",MAH,PMI,39.9,4.23,39.54,2.73,134.43305591202738
"Dublin, Republic Of Ireland - Isle Of Man, United Kingdom",IOM,DUB,54.1,-4.63,53.34,-6.25,136.06442871396655
"Ibiza, Spain - Palma - Mallorca Island, Spain",IBZ,PMI,38.9,1.37,39.54,2.73,137.1184126932528
"Isle Of Man, United Kingdom - Liverpool, United Kingdom",IOM,LPL,54.1,-4.63,53.34,-2.85,144.46351159222579
"London, Canada - Toronto, Canada",YYZ,YXU,43.7,-79.61,43.03,-81.15,145.1219633553874
"Newark, United States Of America - Seattle, United States Of America",SEA,EWR,39.9,-75.59,40.69,-74.18,148.42382731633674
"Newark, United States Of America - Seattle, United States Of America",EWR,SEA,40.7,-74.18,39.9,-75.59,149.07787417359913
"Ithaca, United States Of America - New York, United States Of America",LGA,ITH,40.8,-73.88,40.03,-75.36,151.80103165346912
"Bergen, Norway - Stavanger, Norway",BGO,SVG,60.3,5.23,58.88,5.63,159.54310012866995
"London, United Kingdom - Lugano, Switzerland",LCY,LUG,47.5,8.57,46.0,8.91,168.84445783263612
"Belfast-city, United Kingdom - Glasgow, United Kingdom",GLA,BHD,55.9,-4.43,54.61,-5.87,170.05458002382687
"Berlin, Germany - Munich, Germany",MUC,BER,48.3,11.77,47.81,9.6,170.2851506946239
"New York, United States Of America - Seattle, United States Of America",JFK,SEA,40.6,-73.79,39.9,-75.59,171.49744376374838
"Belfast, United Kingdom - Glasgow, United Kingdom",BFS,GLA,54.7,-6.22,55.86,-4.43,171.76690938732713
"Frankfurt, Germany - Luxembourg, Luxembourg",FRA,LUX,50.1,8.56,49.63,6.21,176.40464026146662
"Frankfurt, Germany - Luxembourg, Luxembourg",FRA,LUX,50.1,8.56,49.63,6.21,176.40464026146662
"Luxembourg, Luxembourg - New York, United States Of America",JFK,LUX,50.1,8.56,49.63,6.21,176.40464026146662
"Bukoba, United Rep. Of Tanzania - Mwanza, United Rep. Of Tanzania",BKZ,MWZ,-1.3,31.81,-2.45,32.93,178.50620496841867
"Guernsey -channel Isl., United Kingdom - Southampton, United Kingdom",SOU,GCI,51.0,-1.36,49.43,-2.6,195.66009367289
"Glasgow, United Kingdom - Isle Of Man, United Kingdom",IOM,GLA,54.1,-4.63,55.86,-4.43,196.18008220372752
"Jersey-channel Islands, United Kingdom - Southampton, United Kingdom",JER,SOU,49.2,-2.19,50.95,-1.36,203.46638152035163
"Amman, Jordan - Beirut, Lebanon",BEY,AMM,33.8,35.49,31.95,35.94,210.02440277523735
"Lagos, Nigeria - Manchester, United Kingdom",LOS,MAN,51.5,-0.45,53.37,0.1,211.3154330469629
"London, United Kingdom - Manchester, United Kingdom",LHR,MAN,51.5,-0.45,53.37,0.1,211.3154330469629
"London, United Kingdom - Manchester, United Kingdom",LHR,MAN,51.5,-0.45,53.37,0.1,211.3154330469629
"Geneva, Switzerland - Lugano, Switzerland",GVA,LUG,46.2,6.11,46.0,8.91,217.08672823662906
"London, United Kingdom - Manchester, United Kingdom",MAN,LHR,53.4,0.1,51.47,-0.45,217.887577980207
"London, United Kingdom - Manchester, United Kingdom",MAN,LHR,53.4,0.1,51.47,-0.45,217.887577980207
"Billund, Denmark - Copenhagen, Denmark",BLL,CPH,55.8,9.15,55.63,12.64,219.4648489237747
"Bogota, Colombia - Medellin, Colombia",MDE,BOG,6.2,-75.43,4.7,-74.14,219.6329132716962
"Milan, Italy - Zurich, Switzerland",MXP,ZRH,45.5,9.18,47.45,8.57,221.87216640981157
"Milan, Italy - Zurich, Switzerland",MXP,ZRH,45.5,9.18,47.45,8.57,221.87216640981157
"Belfast-city, United Kingdom - Edinburgh, United Kingdom",EDI,BHD,56.0,-3.34,54.61,-5.87,222.59892088260725
"Edinburgh, United Kingdom - Isle Of Man, United Kingdom",IOM,EDI,54.1,-4.63,55.96,-3.34,222.62354719894287
